"","mesoregion","year","agec","j12_j18","ach.noj","all.deaths","coverage3","hdi.mesoregion.2010"
"2",1101,2005,1,7,34,58,0,0.701495877993442
"3",1101,2005,2,0,15,19,0,0.701495877993442
"4",1101,2005,3,2,20,27,0,0.701495877993442
"6",1101,2006,1,5,30,49,0,0.701495877993442
"7",1101,2006,2,4,12,21,0,0.701495877993442
"8",1101,2006,3,0,15,16,0,0.701495877993442
"10",1101,2007,1,3,36,58,0,0.701495877993442
"11",1101,2007,2,1,6,12,0,0.701495877993442
"12",1101,2007,3,1,6,12,0,0.701495877993442
"14",1101,2008,1,2,22,34,0,0.701495877993442
"15",1101,2008,2,0,9,13,0,0.701495877993442
"16",1101,2008,3,0,23,27,0,0.701495877993442
"18",1101,2009,1,5,27,49,0,0.701495877993442
"19",1101,2009,2,3,8,15,0,0.701495877993442
"20",1101,2009,3,4,10,18,0,0.701495877993442
"22",1101,2010,1,7,27,53,0,0.701495877993442
"23",1101,2010,2,1,7,12,0,0.701495877993442
"24",1101,2010,3,4,18,30,0,0.701495877993442
"25",1101,2011,2,2,4,12,90.0588501636847,0.701495877993442
"26",1101,2011,3,4,12,23,90.0588501636847,0.701495877993442
"27",1101,2011,1,4,20,42,90.0588501636847,0.701495877993442
"30",1101,2012,1,6,17,38,105.711318128635,0.701495877993442
"31",1101,2012,2,4,7,15,105.711318128635,0.701495877993442
"32",1101,2012,3,5,8,17,105.711318128635,0.701495877993442
"34",1101,2013,2,1,11,15,94.086387034721,0.701495877993442
"35",1101,2013,1,5,17,39,94.086387034721,0.701495877993442
"36",1101,2013,3,4,17,25,94.086387034721,0.701495877993442
"38",1101,2014,2,3,3,10,103.557065241484,0.701495877993442
"39",1101,2014,1,9,17,42,103.557065241484,0.701495877993442
"40",1101,2014,3,2,9,16,103.557065241484,0.701495877993442
"41",1101,2015,3,1,9,12,101.707103539808,0.701495877993442
"42",1101,2015,1,6,15,31,101.707103539808,0.701495877993442
"43",1101,2015,2,4,7,13,101.707103539808,0.701495877993442
"46",1102,2005,1,11,38,67,0,0.677849278620348
"47",1102,2005,2,6,10,19,0,0.677849278620348
"48",1102,2005,3,1,23,29,0,0.677849278620348
"50",1102,2006,1,12,24,48,0,0.677849278620348
"51",1102,2006,2,1,9,17,0,0.677849278620348
"52",1102,2006,3,5,15,24,0,0.677849278620348
"54",1102,2007,1,5,29,51,0,0.677849278620348
"55",1102,2007,2,4,9,17,0,0.677849278620348
"56",1102,2007,3,0,14,16,0,0.677849278620348
"58",1102,2008,1,5,35,56,0,0.677849278620348
"59",1102,2008,2,1,12,19,0,0.677849278620348
"60",1102,2008,3,1,23,27,0,0.677849278620348
"62",1102,2009,1,11,31,55,0,0.677849278620348
"63",1102,2009,2,3,12,21,0,0.677849278620348
"64",1102,2009,3,1,14,19,0,0.677849278620348
