"Year","PCV3.coverage","dept.inc"
2005,0,"01.high"
2006,0,"01.high"
2007,0,"01.high"
2008,0,"01.high"
2009,4.10657631752966,"01.high"
2010,55.5351735266307,"01.high"
2011,65.5272063576562,"01.high"
2012,69.5696011364791,"01.high"
2013,87.7857888717617,"01.high"
2014,91.2211038261458,"01.high"
2005,0,"01.med"
2006,0,"01.med"
2007,0,"01.med"
2008,5.72960808729599,"01.med"
2009,24.7878601741675,"01.med"
2010,58.1816289049724,"01.med"
2011,76.2467651002695,"01.med"
2012,82.5198772100012,"01.med"
2013,85.5755857072881,"01.med"
2014,86.0694233790196,"01.med"
2005,0,"01.low"
2006,0,"01.low"
2007,0,"01.low"
2008,4.89917341691583,"01.low"
2009,21.5480938138982,"01.low"
2010,54.1836940318683,"01.low"
2011,76.4002185374957,"01.low"
2012,82.1907899120102,"01.low"
2013,81.5979136774546,"01.low"
2014,82.7851622148405,"01.low"
2005,0,"02.high"
2006,0,"02.high"
2007,0,"02.high"
2008,0.198188200400097,"02.high"
2009,12.749355132391,"02.high"
2010,71.8075627713533,"02.high"
2011,88.3658653533576,"02.high"
2012,90.6136761063212,"02.high"
2013,92.9648219616766,"02.high"
2014,92.2541489584275,"02.high"
2005,0,"02.med"
2006,0,"02.med"
2007,0,"02.med"
2008,3.82154571580549,"02.med"
2009,18.1678923583399,"02.med"
2010,74.1059225236122,"02.med"
2011,79.6861599304786,"02.med"
2012,76.6471771291335,"02.med"
2013,79.8002838898747,"02.med"
2014,77.8415523802976,"02.med"
2005,0,"02.low"
2006,0,"02.low"
2007,0,"02.low"
2008,7.21937224215059,"02.low"
2009,28.9071489950145,"02.low"
2010,70.6994141434871,"02.low"
2011,70.8147209470081,"02.low"
2012,66.918427046176,"02.low"
2013,69.9332726173323,"02.low"
2014,73.9525988006598,"02.low"
2005,0,"03.med"
2006,0,"03.med"
2007,0,"03.med"
2008,0.0481442577030812,"03.med"
2009,9.08570116835616,"03.med"
2010,97.558402143753,"03.med"
2011,97.5108331552843,"03.med"
2012,88.298071742519,"03.med"
2013,98.4437720806281,"03.med"
2014,95.7032028104027,"03.med"
2005,0,"03.low"
2006,0,"03.low"
2007,0,"03.low"
2008,1.21046211754277,"03.low"
2009,7.72734631973655,"03.low"
2010,69.1892131123965,"03.low"
2011,64.9523096752034,"03.low"
2012,62.3969414056114,"03.low"
2013,64.8313867190451,"03.low"
