"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"01.high",2005,0,0,58,0,0,0,0,0,0,45,4,3,62
"01.low",2005,0,4,32,0,2,4,0,0,0,21,2,0,36
"01.med",2005,0,2,68,0,4,5,0,0,0,42,0,8,73
"02.high",2005,0,6,27,0,0,6,0,1,0,11,2,6,34
"02.low",2005,0,1,7,0,0,1,0,0,0,1,0,1,8
"02.med",2005,0,9,58,0,1,10,0,1,1,34,3,8,72
"03.low",2005,0,12,109,0,0,12,0,1,1,62,3,9,130
"03.med",2005,0,4,49,0,0,4,0,2,1,35,1,4,53
"04.high",2005,0,10,210,0,0,10,0,4,1,118,2,47,223
"04.low",2005,0,1,14,0,0,1,0,0,0,12,0,0,15
"04.med",2005,0,1,18,0,0,1,0,0,0,11,0,0,20
"05.low",2005,0,6,48,0,1,9,0,1,2,26,0,5,58
"05.med",2005,0,9,64,0,0,16,0,2,3,41,1,4,86
"06.low",2005,0,27,70,0,1,27,0,1,3,39,4,6,116
"06.med",2005,0,14,138,0,6,15,0,0,0,78,7,12,159
"07.high",2005,0,6,84,0,0,9,0,2,0,54,4,19,94
"08.high",2005,0,5,43,0,1,9,0,1,0,23,2,3,53
"08.low",2005,0,10,169,0,0,11,0,4,1,69,10,6,190
"08.med",2005,0,13,160,2,1,17,0,1,2,79,7,14,191
"09.low",2005,0,13,132,0,0,15,0,6,0,76,4,13,153
"09.med",2005,0,3,24,0,0,4,0,2,0,17,0,1,31
"10.high",2005,0,0,18,0,2,0,0,0,0,8,1,5,20
"10.low",2005,0,17,163,5,4,17,0,1,1,79,17,16,198
"10.med",2005,0,3,37,0,1,3,0,1,2,22,0,7,44
"11.high",2005,0,6,145,0,0,7,0,1,1,98,1,24,159
"12.high",2005,0,12,113,0,0,14,0,2,1,64,4,15,140
"12.low",2005,0,1,19,0,2,1,0,0,0,11,0,0,21
"12.med",2005,0,17,112,0,0,21,1,2,1,57,1,11,153
"13.high",2005,0,2,24,0,0,2,0,2,1,11,1,4,31
"13.low",2005,0,6,40,1,5,6,0,2,0,16,4,1,52
"13.med",2005,0,7,49,0,0,7,0,1,0,25,2,7,63
"14.high",2005,0,9,125,0,0,12,0,0,1,87,3,23,140
"14.low",2005,0,1,8,0,1,1,0,1,0,5,0,1,9
"14.med",2005,0,8,72,0,2,8,0,1,0,35,2,14,90
"15.high",2005,0,54,836,0,1,73,0,9,2,506,20,196,950
"15.med",2005,0,5,46,0,0,7,0,1,0,29,0,6,56
"16.high",2005,0,1,9,0,0,2,0,0,0,5,1,1,11
"16.low",2005,0,1,17,0,0,2,0,0,0,9,3,5,19
"16.med",2005,0,1,18,0,0,1,0,1,0,6,1,2,21
"17.high",2005,0,3,31,1,0,3,0,3,0,18,0,4,38
"18.high",2005,0,1,25,0,0,1,0,0,0,19,0,2,26
"18.med",2005,0,0,2,0,0,0,0,0,0,1,0,0,2
"19.low",2005,0,1,17,0,0,1,0,0,0,9,2,0,21
"19.med",2005,0,5,25,0,0,5,0,0,0,19,0,3,34
"20.high",2005,0,3,130,0,2,10,0,2,0,101,0,12,145
"20.low",2005,0,1,17,0,0,2,0,0,0,9,0,1,21
"20.med",2005,0,15,109,0,0,18,0,1,0,85,0,10,132
"21.low",2005,0,13,260,0,1,17,0,0,8,139,11,18,288
"21.med",2005,0,33,275,1,0,44,0,0,3,172,9,18,328
"22.high",2005,0,4,41,0,0,4,0,1,0,31,0,5,48
"22.low",2005,0,1,8,0,0,1,0,0,0,3,3,2,9
"22.med",2005,0,2,42,0,1,2,0,0,2,25,2,3,46
